model,repeat,fold,n_test,rmse,mae,r2
Linear Regression,1,1,20,0.589060089614,0.427847001563,0.75751751302
Decision Tree,1,1,20,0.907215842602,0.781494986025,0.424848269677
Random Forest,1,1,20,0.726403919303,0.620214671882,0.631262304717
Gradient Boosting,1,1,20,0.740401714603,0.631879031741,0.616914238014
MLP (L-BFGS),1,1,20,0.746956059564,0.615036202491,0.610101747319
Ridge,1,1,20,0.588499397157,0.425713668151,0.757978903627
Lasso,1,1,20,0.622236892562,0.461029079521,0.72943432886
Mean baseline,1,1,20,1.20566042841,0.942842405,-0.0158069813534
Linear Regression,1,2,20,0.72311557449,0.516764231881,0.535077284614
Decision Tree,1,2,20,0.865721821237,0.749943544114,0.333619832244
Random Forest,1,2,20,0.776196926575,0.627256252634,0.464315386577
Gradient Boosting,1,2,20,0.701164999984,0.559281619749,0.562874851067
MLP (L-BFGS),1,2,20,0.75362455177,0.523390518442,0.49501856537
Ridge,1,2,20,0.717452050489,0.509639677052,0.54233142123
Lasso,1,2,20,0.701059359038,0.505615580638,0.563006559967
Mean baseline,1,2,20,1.06135631401,0.8294705,-0.00158485840263
Linear Regression,1,3,19,0.776236175009,0.581206510204,0.413027851095
Decision Tree,1,3,19,0.948642685871,0.763912027898,0.123332183191
Random Forest,1,3,19,0.740141207409,0.605177443817,0.46634705945
Gradient Boosting,1,3,19,0.782947236834,0.648403251226,0.402834471819
MLP (L-BFGS),1,3,19,0.801088289127,0.621655223192,0.374840976347
Ridge,1,3,19,0.77471600192,0.578585911611,0.415324640548
Lasso,1,3,19,0.783715273017,0.598894046397,0.401662311893
Mean baseline,1,3,19,1.17219889432,0.993810083468,-0.338543079759
Linear Regression,1,4,19,0.941900440273,0.626112597486,-0.0903541277474
Decision Tree,1,4,19,0.996020664255,0.81484147801,-0.219254226438
Random Forest,1,4,19,0.788680384924,0.612401544601,0.235531400176
Gradient Boosting,1,4,19,0.886486042649,0.648556885255,0.0341684753321
MLP (L-BFGS),1,4,19,1.07625223575,0.724755310344,-0.423592546505
Ridge,1,4,19,0.93316290264,0.623357909396,-0.0702186204839
Lasso,1,4,19,0.877568707398,0.639319778678,0.0535017190899
Mean baseline,1,4,19,1.1934758974,0.81673539251,-0.750591750952
Linear Regression,1,5,19,0.786669459505,0.710504825098,0.604890765429
Decision Tree,1,5,19,0.998526101653,0.818672974486,0.363422266179
Random Forest,1,5,19,0.859843132009,0.740766951532,0.527968421619
Gradient Boosting,1,5,19,0.886104525617,0.784390860811,0.498694453958
MLP (L-BFGS),1,5,19,0.829184237085,0.635668146875,0.561030167538
Ridge,1,5,19,0.789598363001,0.713869930695,0.60194317137
Lasso,1,5,19,0.777352381365,0.712351538717,0.614194453719
Mean baseline,1,5,19,1.25153492249,1.02326325526,-4.27026711149e-05
Linear Regression,2,1,20,0.666029180041,0.535322797689,0.551121962427
Decision Tree,2,1,20,0.818412978273,0.686158735922,0.322222950766
Random Forest,2,1,20,0.766821820303,0.65579945158,0.404981089819
Gradient Boosting,2,1,20,0.819417919766,0.674650595752,0.32055742375
MLP (L-BFGS),2,1,20,0.923567063843,0.604295496004,0.136865021389
Ridge,2,1,20,0.666108610416,0.533549255274,0.55101489001
Lasso,2,1,20,0.698026564839,0.57976158343,0.506955923956
Mean baseline,2,1,20,1.00272063057,0.745176670195,-0.0174234523289
Linear Regression,2,2,20,0.506628314526,0.357671196074,0.732714579901
Decision Tree,2,2,20,0.879364105194,0.776745450708,0.194744273976
Random Forest,2,2,20,0.694416285534,0.587750067809,0.497846899902
Gradient Boosting,2,2,20,0.687658090788,0.606617804956,0.507573442003
MLP (L-BFGS),2,2,20,0.616621800602,0.403209591071,0.60405569242
Ridge,2,2,20,0.50883653585,0.359541744526,0.730379488697
Lasso,2,2,20,0.560209971645,0.405858513807,0.673187978559
Mean baseline,2,2,20,1.15101756328,0.984930577078,-0.379622455146
Linear Regression,2,3,19,0.816649729816,0.608280315077,0.395771586509
Decision Tree,2,3,19,1.10161256844,0.81800799749,-0.0994798203881
Random Forest,2,3,19,0.783012617123,0.610417416944,0.444521801028
Gradient Boosting,2,3,19,0.752640624146,0.606470363676,0.4867785372
MLP (L-BFGS),2,3,19,0.748543018785,0.597318988895,0.49235159377
Ridge,2,3,19,0.8092878434,0.601346730245,0.406616409757
Lasso,2,3,19,0.775477055467,0.585432795078,0.455161982982
Mean baseline,2,3,19,1.05570550338,0.83158563664,-0.00975280783588
Linear Regression,2,4,19,0.714642450463,0.54135021993,0.717757030944
Decision Tree,2,4,19,1.17457564928,0.977508541827,0.237556795879
Random Forest,2,4,19,0.930267665564,0.735861504295,0.521742968846
Gradient Boosting,2,4,19,0.943477663916,0.747040462498,0.508063827456
MLP (L-BFGS),2,4,19,0.841741894782,0.663485725991,0.60843542135
Ridge,2,4,19,0.722553733238,0.552032561921,0.711473431756
Lasso,2,4,19,0.802023563945,0.640431126114,0.644516237345
Mean baseline,2,4,19,1.42604162082,1.07025167166,-0.123854047473
Linear Regression,2,5,19,0.907046959476,0.760290454324,0.386284779799
Decision Tree,2,5,19,1.05301085497,0.835176240235,0.172871383548
Random Forest,2,5,19,0.88161583192,0.713320817036,0.420216153254
Gradient Boosting,2,5,19,0.926041569326,0.745734557927,0.360311836497
MLP (L-BFGS),2,5,19,0.898625566448,0.691954639063,0.397627841039
Ridge,2,5,19,0.897073138409,0.747381117064,0.399707309309
Lasso,2,5,19,0.844103269315,0.683286243584,0.468505817925
Mean baseline,2,5,19,1.17277502637,0.91879546498,-0.025974977473
Linear Regression,3,1,20,0.738041039918,0.554190550715,0.183906191759
Decision Tree,3,1,20,0.680973188315,0.568207018991,0.305233156233
Random Forest,3,1,20,0.645957165619,0.525232311388,0.374846741658
Gradient Boosting,3,1,20,0.628901761719,0.497045012473,0.407423149745
MLP (L-BFGS),3,1,20,0.687639782324,0.545607708222,0.291563307212
Ridge,3,1,20,0.735453222479,0.552782527218,0.189619151229
Lasso,3,1,20,0.715171352309,0.566099733587,0.233699202141
Mean baseline,3,1,20,0.866206936812,0.705198492857,-0.124145103977
Linear Regression,3,2,20,0.801639686641,0.64472573245,0.645290105055
Decision Tree,3,2,20,0.870194791064,0.729905754516,0.5820273708
Random Forest,3,2,20,0.800434082316,0.665469774893,0.646356215483
Gradient Boosting,3,2,20,0.853537307246,0.684936300123,0.597876085713
MLP (L-BFGS),3,2,20,0.924086747834,0.641439232067,0.528653410781
Ridge,3,2,20,0.801609701727,0.646341564191,0.645316640035
Lasso,3,2,20,0.79508669184,0.63201823655,0.651065546803
Mean baseline,3,2,20,1.34662720588,1.05090018234,-0.000943705893703
Linear Regression,3,3,19,0.763694062558,0.561599509175,0.400779579249
Decision Tree,3,3,19,0.98411954698,0.831837323713,0.00495323298424
Random Forest,3,3,19,0.768380505456,0.646556964317,0.393402728273
Gradient Boosting,3,3,19,0.820045338938,0.699017990416,0.309086774798
MLP (L-BFGS),3,3,19,0.924558246888,0.73362511795,0.121753696604
Ridge,3,3,19,0.759596607804,0.559169364447,0.407192335397
Lasso,3,3,19,0.759006064787,0.579556389064,0.408113725355
Mean baseline,3,3,19,1.00517294717,0.790325708097,-0.0380765015351
Linear Regression,3,4,19,0.591475242077,0.442137369689,0.793455789182
Decision Tree,3,4,19,0.939560668065,0.730931189181,0.478817840017
Random Forest,3,4,19,0.833688503473,0.64348256403,0.589656545136
Gradient Boosting,3,4,19,0.801477175435,0.645312777758,0.620752956947
MLP (L-BFGS),3,4,19,0.716052369264,0.548199946512,0.697288125418
Ridge,3,4,19,0.595341110645,0.443703037014,0.790747029406
Lasso,3,4,19,0.691988613458,0.518086107848,0.717292205884
Mean baseline,3,4,19,1.31347240499,1.04479545081,-0.0185486827426
Linear Regression,3,5,19,0.724789658398,0.577182455171,0.610022801407
Decision Tree,3,5,19,1.04919677062,0.921070921083,0.182798548166
Random Forest,3,5,19,0.829770689586,0.683257262134,0.48886994455
Gradient Boosting,3,5,19,0.80029550872,0.656081470317,0.524537796858
MLP (L-BFGS),3,5,19,0.807806979856,0.633084783972,0.515570656535
Ridge,3,5,19,0.722761162813,0.574904715998,0.612202633921
Lasso,3,5,19,0.714611981449,0.572968923288,0.620898217801
Mean baseline,3,5,19,1.16617303857,0.863396869433,-0.0095811475124
Linear Regression,4,1,20,0.904918350489,0.697724349327,0.296947821974
Decision Tree,4,1,20,1.08485702304,0.927257158114,-0.0104475547786
Random Forest,4,1,20,0.928001420207,0.759269822691,0.260622808284
Gradient Boosting,4,1,20,0.926652310719,0.743889974881,0.262771028513
MLP (L-BFGS),4,1,20,0.964626174657,0.756069614086,0.201110244882
Ridge,4,1,20,0.90475468104,0.697667348763,0.297202116201
Lasso,4,1,20,0.894039658211,0.695146897405,0.313750034975
Mean baseline,4,1,20,1.08582336681,0.837365399156,-0.0122484825789
Linear Regression,4,2,20,0.730438274935,0.606210632488,0.658191277164
Decision Tree,4,2,20,0.903806221474,0.762864758304,0.476680701742
Random Forest,4,2,20,0.701926814924,0.576483374879,0.684354382043
Gradient Boosting,4,2,20,0.773428578156,0.634409749625,0.616772622079
MLP (L-BFGS),4,2,20,0.885342927195,0.675563081014,0.497843438763
Ridge,4,2,20,0.728266195747,0.605901251871,0.660221104354
Lasso,4,2,20,0.726421369094,0.609198310044,0.661940363677
Mean baseline,4,2,20,1.28089012248,1.01409148662,-0.0510898699978
Linear Regression,4,3,19,0.604927892129,0.46944648555,0.58818047296
Decision Tree,4,3,19,0.857889801374,0.695709808289,0.171747555388
Random Forest,4,3,19,0.76941815976,0.632949117873,0.333769392204
Gradient Boosting,4,3,19,0.761173466868,0.601339273684,0.347970869792
MLP (L-BFGS),4,3,19,0.655714374257,0.545585566501,0.516129522926
Ridge,4,3,19,0.60402404987,0.46943667935,0.589410179256
Lasso,4,3,19,0.65093419376,0.520562825372,0.52315867289
Mean baseline,4,3,19,0.976475615263,0.761887895682,-0.0730563315435
Linear Regression,4,4,19,0.810913842525,0.590660736166,0.51693983249
Decision Tree,4,4,19,0.783159320714,0.66783927555,0.549440613628
Random Forest,4,4,19,0.740266172971,0.612404536612,0.597442790961
Gradient Boosting,4,4,19,0.728702219974,0.631061842185,0.609921526154
MLP (L-BFGS),4,4,19,0.832953233111,0.546956353546,0.490325346778
Ridge,4,4,19,0.801443578304,0.58045478743,0.528156793658
Lasso,4,4,19,0.721563397051,0.54054578588,0.617526994443
Mean baseline,4,4,19,1.25142431487,0.963616744534,-0.150432063942
Linear Regression,4,5,19,0.742484944088,0.571277835193,0.599425036459
Decision Tree,4,5,19,0.957277907158,0.746649815132,0.334137478948
Random Forest,4,5,19,0.776778069213,0.631338364115,0.561567833119
Gradient Boosting,4,5,19,0.77840161965,0.615238298956,0.559733176216
MLP (L-BFGS),4,5,19,1.05456538414,0.7980025764,0.191917834509
Ridge,4,5,19,0.741755917937,0.567679670193,0.600211278006
Lasso,4,5,19,0.738357865749,0.552120510435,0.603865825803
Mean baseline,4,5,19,1.17347282169,0.914571914507,-0.000586340382758
Linear Regression,5,1,20,0.755031934272,0.645410569612,0.490844029451
Decision Tree,5,1,20,0.942119546729,0.774687154012,0.20725734195
Random Forest,5,1,20,0.771567925608,0.667079352131,0.468297710114
Gradient Boosting,5,1,20,0.825049640732,0.746751808782,0.392032507372
MLP (L-BFGS),5,1,20,0.79515034911,0.6309373408,0.435298804038
Ridge,5,1,20,0.757094981049,0.651126758258,0.488057795892
Lasso,5,1,20,0.765351122806,0.667768350809,0.47683142806
Mean baseline,5,1,20,1.21483149644,0.951446024351,-0.318111915318
Linear Regression,5,2,20,0.504103825922,0.39448354647,0.746792929752
Decision Tree,5,2,20,0.933579612121,0.720399609322,0.13156251927
Random Forest,5,2,20,0.738219223432,0.606117167439,0.456991608087
Gradient Boosting,5,2,20,0.79138796277,0.654086583012,0.375956704551
MLP (L-BFGS),5,2,20,0.75067807046,0.589546977677,0.438508353937
Ridge,5,2,20,0.503994783444,0.396639177136,0.746902460125
Lasso,5,2,20,0.554337732093,0.470924411771,0.693814427703
Mean baseline,5,2,20,1.0094884339,0.792040665065,-0.0154032192858
Linear Regression,5,3,19,0.847540682698,0.638368446553,0.592420017354
Decision Tree,5,3,19,1.07566120075,0.903635639306,0.343487882587
Random Forest,5,3,19,0.873339479781,0.676152763043,0.567229225258
Gradient Boosting,5,3,19,0.865335964226,0.681124377786,0.575124932779
MLP (L-BFGS),5,3,19,0.813486260516,0.646180099202,0.624515353725
Ridge,5,3,19,0.842678755092,0.632462206019,0.597082780106
Lasso,5,3,19,0.833111760419,0.59417437394,0.606179545596
Mean baseline,5,3,19,1.35070548936,1.03390105061,-0.0351733158116
Linear Regression,5,4,19,0.715035611473,0.553377182785,0.559489652283
Decision Tree,5,4,19,0.990306203048,0.843019778714,0.155032957907
Random Forest,5,4,19,0.796309881061,0.66792619551,0.453657506625
Gradient Boosting,5,4,19,0.764161368345,0.6537404169,0.496880757577
MLP (L-BFGS),5,4,19,0.698209938429,0.562202479088,0.579977240799
Ridge,5,4,19,0.71203570345,0.547125269481,0.563178191344
Lasso,5,4,19,0.736996617761,0.58594098,0.532015186086
Mean baseline,5,4,19,1.09114781833,0.931008840688,-0.0258124087339
Linear Regression,5,5,19,0.680808757526,0.509387173907,0.599424413979
Decision Tree,5,5,19,0.761962670244,0.594208024196,0.498233572807
Random Forest,5,5,19,0.755995257908,0.607864171784,0.506062098694
Gradient Boosting,5,5,19,0.738950295818,0.605938784088,0.528084041224
MLP (L-BFGS),5,5,19,0.895846147125,0.697470593936,0.306412799767
Ridge,5,5,19,0.677076060375,0.505633846357,0.603804875779
Lasso,5,5,19,0.667376260133,0.50851152175,0.615075355581
Mean baseline,5,5,19,1.15298200178,0.839787208502,-0.148892158731
Linear Regression,6,1,20,0.778240553095,0.563737791157,0.609463887536
Decision Tree,6,1,20,0.853556208028,0.714093274483,0.530216526777
Random Forest,6,1,20,0.744410753478,0.587486127227,0.642678819602
Gradient Boosting,6,1,20,0.811165221226,0.619065380584,0.575720422573
MLP (L-BFGS),6,1,20,0.836484439907,0.570849482252,0.548820646989
Ridge,6,1,20,0.777926091995,0.562924749701,0.609779429058
Lasso,6,1,20,0.797433492299,0.601912296526,0.589963584847
Mean baseline,6,1,20,1.25655005,0.884832172662,-0.0181061649416
Linear Regression,6,2,20,0.805061131875,0.623762609276,0.460715850968
Decision Tree,6,2,20,1.10452649171,0.922672441042,-0.0151079051466
Random Forest,6,2,20,0.847131114235,0.705137938741,0.402880570511
Gradient Boosting,6,2,20,0.916782603455,0.74729198045,0.300653084534
MLP (L-BFGS),6,2,20,0.88930858886,0.690821633185,0.341940883905
Ridge,6,2,20,0.803313234614,0.620603973682,0.463055027409
Lasso,6,2,20,0.798845143285,0.60765697535,0.469011476347
Mean baseline,6,2,20,1.10685183319,0.874818846169,-0.0193865843184
Linear Regression,6,3,19,0.671322230892,0.529540186126,0.622248139355
Decision Tree,6,3,19,0.740852238807,0.605250561633,0.539947124888
