model,repeat,fold,n_test,r2,rmse,mae
Linear Regression,1,1,20,0.75751751302,0.589060089614,0.427847001563
Linear Regression,1,2,20,0.535077284614,0.72311557449,0.516764231881
Linear Regression,1,3,19,0.413027851095,0.776236175009,0.581206510204
Linear Regression,1,4,19,-0.0903541277474,0.941900440273,0.626112597486
Linear Regression,1,5,19,0.604890765429,0.786669459505,0.710504825098
Linear Regression,2,1,20,0.551121962427,0.666029180041,0.535322797689
Linear Regression,2,2,20,0.732714579901,0.506628314526,0.357671196074
Linear Regression,2,3,19,0.395771586509,0.816649729816,0.608280315077
Linear Regression,2,4,19,0.717757030944,0.714642450463,0.54135021993
Linear Regression,2,5,19,0.386284779799,0.907046959476,0.760290454324
Linear Regression,3,1,20,0.183906191759,0.738041039918,0.554190550715
Linear Regression,3,2,20,0.645290105055,0.801639686641,0.64472573245
Linear Regression,3,3,19,0.400779579249,0.763694062558,0.561599509175
Linear Regression,3,4,19,0.793455789182,0.591475242077,0.442137369689
Linear Regression,3,5,19,0.610022801407,0.724789658398,0.577182455171
Linear Regression,4,1,20,0.296947821974,0.904918350489,0.697724349327
Linear Regression,4,2,20,0.658191277164,0.730438274935,0.606210632488
Linear Regression,4,3,19,0.58818047296,0.604927892129,0.46944648555
Linear Regression,4,4,19,0.51693983249,0.810913842525,0.590660736166
Linear Regression,4,5,19,0.599425036459,0.742484944088,0.571277835193
Linear Regression,5,1,20,0.490844029451,0.755031934272,0.645410569612
Linear Regression,5,2,20,0.746792929752,0.504103825922,0.39448354647
Linear Regression,5,3,19,0.592420017354,0.847540682698,0.638368446553
Linear Regression,5,4,19,0.559489652283,0.715035611473,0.553377182785
Linear Regression,5,5,19,0.599424413979,0.680808757526,0.509387173907
Linear Regression,6,1,20,0.609463887536,0.778240553095,0.563737791157
Linear Regression,6,2,20,0.460715850968,0.805061131875,0.623762609276
Linear Regression,6,3,19,0.622248139355,0.671322230892,0.529540186126
Linear Regression,6,4,19,0.611144187806,0.640916184387,0.48458203324
Linear Regression,6,5,19,0.662461773676,0.706280098099,0.576013148931
Linear Regression,7,1,20,0.417465385449,0.805863149496,0.633663573237
Linear Regression,7,2,20,0.606909964361,0.667238408577,0.492373743158
Linear Regression,7,3,19,0.893425924153,0.375405799932,0.273741806861
Linear Regression,7,4,19,0.496156673863,0.742076105269,0.598748974843
Linear Regression,7,5,19,0.519251191582,0.860240149596,0.722309850856
Linear Regression,8,1,20,0.636677932955,0.946187484331,0.734905273197
Linear Regression,8,2,20,0.436338923038,0.835362798597,0.621586462856
Linear Regression,8,3,19,0.680397139348,0.585258112869,0.438797439755
Linear Regression,8,4,19,0.148221018333,0.78872370968,0.549469498014
Linear Regression,8,5,19,0.547195861295,0.630618686837,0.516460755408
Linear Regression,9,1,20,0.5493396306,0.819629900571,0.646938387104
Linear Regression,9,2,20,0.328392227716,0.806637674795,0.60195408082
Linear Regression,9,3,19,0.756256643683,0.536598310083,0.412705668866
Linear Regression,9,4,19,0.754686826622,0.64325863053,0.47297013319
Linear Regression,9,5,19,0.1850287662,0.924942050935,0.756530495854
Linear Regression,10,1,20,0.544519222798,0.624729239363,0.439173989558
Linear Regression,10,2,20,0.601885143192,0.592177951611,0.479186598446
Linear Regression,10,3,19,0.489499709113,0.774277299089,0.574582638031
Linear Regression,10,4,19,0.254087103561,0.839214955425,0.655299728415
Linear Regression,10,5,19,0.649896554807,0.921746869831,0.760960868697
Decision Tree,1,1,20,0.424848269677,0.907215842602,0.781494986025
Decision Tree,1,2,20,0.333619832244,0.865721821237,0.749943544114
Decision Tree,1,3,19,0.123332183191,0.948642685871,0.763912027898
Decision Tree,1,4,19,-0.219254226438,0.996020664255,0.81484147801
Decision Tree,1,5,19,0.363422266179,0.998526101653,0.818672974486
