fold,iteration,feature,importance
1,1,lcavol,0.5533487619811488
1,2,lcavol,0.43573806340513754
1,3,lcavol,0.6501664377978462
1,4,lcavol,0.5083110613195096
1,5,lcavol,0.624100688660832
1,6,lcavol,0.44674798510507796
1,7,lcavol,0.4304725040908022
1,8,lcavol,0.3177328121749363
1,9,lcavol,0.4315517079345603
1,10,lcavol,0.7232549572508549
1,11,lcavol,0.7749437591532262
1,12,lcavol,0.47517239344092665
1,13,lcavol,0.7561705669552712
1,14,lcavol,0.7684869801208514
1,15,lcavol,0.610834177797841
1,16,lcavol,0.7746378889926031
1,17,lcavol,0.5038602456506915
1,18,lcavol,0.8001366630231246
1,19,lcavol,0.588571285594778
1,20,lcavol,0.6565776255589635
1,21,lcavol,0.8853144809677134
1,22,lcavol,0.3121323694645666
1,23,lcavol,0.5334598547366454
1,24,lcavol,0.6921357034214506
1,25,lcavol,0.8098024382682916
1,26,lcavol,0.4772251732892978
1,27,lcavol,0.7066419892142053
1,28,lcavol,0.5213471180737199
1,29,lcavol,0.6401737014598867
1,30,lcavol,0.7172466887696833
1,1,lweight,0.07848657998687114
1,2,lweight,0.09498388885617903
1,3,lweight,0.08123905180017676
1,4,lweight,0.11267037665561863
1,5,lweight,0.14091772034463723
1,6,lweight,0.12146722549282074
1,7,lweight,0.10365108222806896
1,8,lweight,0.009775496184638022
1,9,lweight,0.13426338710250418
1,10,lweight,0.15790063033434132
1,11,lweight,0.16633540011293702
1,12,lweight,0.17733294950626388
1,13,lweight,0.16090796544382013
1,14,lweight,0.15595924755925406
1,15,lweight,0.10856241671284794
1,16,lweight,0.18257479396541432
1,17,lweight,0.13873948768102262
1,18,lweight,0.15296944793572598
1,19,lweight,0.06837496039437618
1,20,lweight,0.15396021788983338
1,21,lweight,0.14283670229780943
1,22,lweight,0.1185519742352441
1,23,lweight,0.13079642133092706
1,24,lweight,0.16163873595840528
1,25,lweight,0.1467027356184465
1,26,lweight,0.07946012770292643
1,27,lweight,0.1552642462828221
1,28,lweight,0.1529530830832797
1,29,lweight,0.15395365631380886
1,30,lweight,0.04900492307988069
1,1,age,-0.02959383506204616
1,2,age,-0.011387781311609557
1,3,age,0.038127383982982765
1,4,age,0.03522345930668036
1,5,age,0.0571813192932934
1,6,age,-0.04682451254520903
1,7,age,0.05246662550771808
1,8,age,0.08426875703879377
1,9,age,-0.03910999948762117
1,10,age,-0.05782884259438981
1,11,age,-0.0012279920490650964
1,12,age,0.015777406601771182
1,13,age,-0.010795184629263432
1,14,age,0.05648902663632038
