repeat,fold,feature,coefficient_per_training_sd
1,1,lcavol,0.655878762412
1,1,lweight,0.247071050932
1,1,age,-0.160198448132
1,1,lbph,0.104369061316
1,1,svi,0.328330433608
1,1,lcp,-0.182649385048
1,1,gleason,0.0396142822265
1,1,pgg45,0.104597674818
1,2,lcavol,0.73543162627
1,2,lweight,0.262309549723
1,2,age,-0.197695234532
1,2,lbph,0.150587248858
1,2,svi,0.273637524
1,2,lcp,-0.186062128179
1,2,gleason,0.0908923808014
1,2,pgg45,0.0858394208113
1,3,lcavol,0.663774874464
1,3,lweight,0.253947870683
1,3,age,-0.161966218852
1,3,lbph,0.190042741845
1,3,svi,0.362514524566
1,3,lcp,-0.140621592635
1,3,gleason,-0.015825625063
1,3,pgg45,0.0974015318486
1,4,lcavol,0.676870199726
1,4,lweight,0.289869969881
1,4,age,-0.0496564156332
1,4,lbph,0.126561808682
1,4,svi,0.311174354214
1,4,lcp,-0.30769752071
1,4,gleason,-0.0104490682696
1,4,pgg45,0.331117485163
1,5,lcavol,0.564303602694
1,5,lweight,0.287400852277
1,5,age,-0.197541406039
1,5,lbph,0.111043854312
1,5,svi,0.268711107514
1,5,lcp,0.0518951535726
1,5,gleason,0.0401810466267
1,5,pgg45,0.0760867874786
2,1,lcavol,0.689560028743
2,1,lweight,0.278560059447
2,1,age,-0.142790912575
2,1,lbph,0.09959041503
2,1,svi,0.262540768503
2,1,lcp,-0.112584734741
2,1,gleason,-0.0396371148734
2,1,pgg45,0.201852967388
2,2,lcavol,0.639936029501
2,2,lweight,0.280803481264
2,2,age,-0.142053646662
2,2,lbph,0.0978132981472
2,2,svi,0.306054794221
2,2,lcp,-0.131302471148
2,2,gleason,0.0649396224342
2,2,pgg45,0.077200488144
2,3,lcavol,0.740470744131
2,3,lweight,0.223260950802
2,3,age,-0.174789701569
2,3,lbph,0.20454372677
2,3,svi,0.338444521148
2,3,lcp,-0.185342346767
2,3,gleason,0.0922317213579
2,3,pgg45,0.0563609841425
2,4,lcavol,0.529394743837
2,4,lweight,0.200027188733
2,4,age,-0.114621563882
2,4,lbph,0.107186652666
2,4,svi,0.333037007473
2,4,lcp,-0.0856429563245
2,4,gleason,0.115649260523
2,4,pgg45,0.0809576911694
2,5,lcavol,0.72885161647
2,5,lweight,0.316688882988
2,5,age,-0.20066330242
2,5,lbph,0.185708923413
2,5,svi,0.304992486672
2,5,lcp,-0.245325414555
2,5,gleason,-0.0599025109638
2,5,pgg45,0.229098970763
3,1,lcavol,0.683098998106
