model,repeat,rmse,mae,r2
Decision Tree,1,0.943463417454,0.785359522993,0.325019288974
Decision Tree,2,1.01127566644,0.816920067465,0.224502599583
Decision Tree,3,0.911036441953,0.754177368203,0.370620300883
Decision Tree,4,0.924599679287,0.761816674318,0.351740770465
Decision Tree,5,0.946135232881,0.766784955348,0.321190889438
Decision Tree,6,0.872593076793,0.712763757581,0.422615982989
Decision Tree,7,0.864335614839,0.710885572325,0.433491998101
Decision Tree,8,0.973840038577,0.807730703397,0.280854968633
Decision Tree,9,0.847918835126,0.709381431481,0.454807595362
Decision Tree,10,0.91184473809,0.758489577078,0.369503000117
Gradient Boosting,1,0.801373808872,0.653287443076,0.513019556856
Gradient Boosting,2,0.830200798792,0.675371446517,0.477354126747
Gradient Boosting,3,0.784066933366,0.635540812199,0.533826578351
Gradient Boosting,4,0.797853082014,0.646094261565,0.517289122045
Gradient Boosting,5,0.7984338357,0.66899006013,0.516586140116
Gradient Boosting,6,0.768351833067,0.616249668263,0.552326388564
Gradient Boosting,7,0.756720381628,0.630085246608,0.565777728632
Gradient Boosting,8,0.807774941309,0.651888091133,0.505208779891
Gradient Boosting,9,0.789866461788,0.640487627602,0.526904758962
Gradient Boosting,10,0.822466552618,0.679030389676,0.487046824505
Lasso,1,0.755440133338,0.5813776816,0.567245753221
Lasso,2,0.740623483234,0.577177887376,0.584054731585
Lasso,3,0.736523066834,0.574267797799,0.588647692801
Lasso,4,0.751912920557,0.584930489289,0.571277450137
Lasso,5,0.716743989479,0.565543978245,0.610444490305
Lasso,6,0.725054214647,0.570993849571,0.601358787993
Lasso,7,0.722811637524,0.567095602905,0.603820951808
Lasso,8,0.754526415167,0.579108594396,0.568291967925
Lasso,9,0.758926685778,0.590971627607,0.563241988773
Lasso,10,0.751849480566,0.588073610783,0.57134979098
Linear Regression,1,0.769660174936,0.570421437029,0.55080050218
Linear Regression,2,0.732262934814,0.558230707965,0.593392546374
Linear Regression,3,0.728337014761,0.556863845463,0.597740790957
Linear Regression,4,0.766365105859,0.588402223893,0.554638494655
Linear Regression,5,0.708219853884,0.547622737972,0.619655249453
Linear Regression,6,0.724539885437,0.556315257797,0.601924152882
Linear Regression,7,0.711418085268,0.544556271614,0.616212315357
Linear Regression,8,0.771566786468,0.574429493726,0.548572220729
Linear Regression,9,0.760064140205,0.579172876482,0.561931810516
Linear Regression,10,0.758008173902,0.579311682761,0.564298545792
MLP (L-BFGS),1,0.84817824788,0.622969374706,0.454473951406
MLP (L-BFGS),2,0.813006872141,0.590232262542,0.49877853104
MLP (L-BFGS),3,0.818078122284,0.619837380681,0.492506143881
MLP (L-BFGS),4,0.889621986815,0.6654948385,0.399860451065
MLP (L-BFGS),5,0.793009289993,0.624957697338,0.523132437452
MLP (L-BFGS),6,0.779659640766,0.590872166661,0.53905263283
MLP (L-BFGS),7,0.765057202588,0.582583500459,0.556157333958
MLP (L-BFGS),8,0.840281627779,0.637051180408,0.464584465092
MLP (L-BFGS),9,0.810419130904,0.6136491133,0.501964155493
MLP (L-BFGS),10,0.882129377648,0.673559629033,0.409926918362
Mean baseline,1,1.17768164622,0.920501278284,-0.0517125233363
Mean baseline,2,1.16898269869,0.90921822307,-0.0362329524327
Mean baseline,3,1.15361235953,0.890657897344,-0.00916233381894
Mean baseline,4,1.1595828881,0.898872085106,-0.019635218088
Mean baseline,5,1.16849008403,0.908855450355,-0.0353597898272
Mean baseline,6,1.15349005297,0.892231508747,-0.00894836137721
Mean baseline,7,1.16808276636,0.906476741302,-0.0346380946369
Mean baseline,8,1.15578175621,0.892366928522,-0.0129614122405
Mean baseline,9,1.1588429664,0.895916356048,-0.0183343890893
Mean baseline,10,1.1651583081,0.901364589439,-0.0294638581698
Random Forest,1,0.779087821437,0.640804034529,0.539728522523
Random Forest,2,0.813949919532,0.659828715618,0.497615072883
Random Forest,3,0.777681151803,0.632027636544,0.541389093761
Random Forest,4,0.787806722546,0.643012497988,0.529368928128
Random Forest,5,0.787823150401,0.644854122348,0.529349300117
Random Forest,6,0.73667231732,0.602280456281,0.588480961425
Random Forest,7,0.769692081676,0.637769065341,0.55076325772
Random Forest,8,0.78727989293,0.628984353893,0.529998167449
Random Forest,9,0.75849294816,0.620535639205,0.563741073204
Random Forest,10,0.808258680949,0.662638813409,0.504615986571
Ridge,1,0.766675817387,0.568118847282,0.554277290824
Ridge,2,0.730103464113,0.556456368777,0.595787211268
Ridge,3,0.727172353297,0.556291206803,0.599026243189
Ridge,4,0.763664990155,0.585620862012,0.557771229084
Ridge,5,0.706225797678,0.546129111579,0.621794023435
Ridge,6,0.722525699312,0.553383795786,0.604134340017
Ridge,7,0.710290486408,0.543429050052,0.617427959443
Ridge,8,0.768098601528,0.572079510767,0.552621426309
Ridge,9,0.757743709381,0.577713510356,0.564602520022
Ridge,10,0.756825612672,0.577906009763,0.565656952606
